Game ID,Player,Leader,Starting Position,Score,Ending Position
1043,@ADIBOU ,Rhombur,2,-14.0,2
1043,@Redzurrected ,Baron,3,-0.8,3
1043,@Siroz26 ,Ariana,4,-24.8,4
1042,@nobody09 ,Ariana,1,70.6,1
1042,@epsi2lon#0001 ,Ilban,3,6.9,2
1042,@IFreeMan ,Leto,2,-48.4,3
1042,@Sweetsale90 ,Helena,4,-29.0,4
1041,@Red Bull Baron ,Helena,3,52.4,1
1041,@tester ,Ecaz,2,28.6,2
1041,@cheesable ,Tessia,1,-22.2,3
1041,@darkdinner ,Paul,4,-58.9,4
1040,@IFreeMan ,Hundro,3,28.7,1
1040,@darkdinner ,Ilesa,1,19.3,2
1040,@Red Bull Baron ,Yuna,2,-1.6,3
1040,@Narballs ,Leto,4,-46.4,4
1039,@justinbyun ,Tessia,4,18.6,1
1039,@davidli642 ,Baron,1,12.8,2
1039,@Lfchezz ,Ariana,2,9.6,3
1039,@Red Bull Baron ,Rhombur,3,-41.0,4
1038,@Yung Savage ,Rhombur,2,28.0,1
1038,@darkdinner ,Ariana,4,2.1,2
